,Name,address,rating,popularity,price,category,url,imageurl,phone
Central Park,Central Park,"Central Park,new york, NY",4.5,123929,,Nature & Parks,https://www.tripadvisor.com/Attraction_Review-g60763-d105127-Reviews-Central_Park-New_York_City_New_York.html,https://media-cdn.tripadvisor.com/media/photo-l/00/12/2a/08/ball-fields.jpg,
The National 9/11 Memorial & Museum,The National 9/11 Memorial & Museum,"The National 9/11 Memorial & Museum,new york, NY",4.5,87024,,Museums,https://www.tripadvisor.com/Attraction_Review-g60763-d1687489-Reviews-The_National_9_11_Memorial_Museum-New_York_City_New_York.html,https://media-cdn.tripadvisor.com/media/photo-l/07/73/16/e8/11-museum.jpg,
Ellis Island Immigration Museum,Ellis Island Immigration Museum,"Ellis Island Immigration Museum,new york, NY",4.5,2897,,Museums,https://www.tripadvisor.com/Attraction_Review-g60763-d1597190-Reviews-Ellis_Island_Immigration_Museum-New_York_City_New_York.html,https://media-cdn.tripadvisor.com/media/photo-l/07/84/08/59/hard-hat-tour-corridor.jpg,
Christmas Spectacular Starring the Radio City Rockettes,Christmas Spectacular Starring the Radio City Rockettes,"Christmas Spectacular Starring the Radio City Rockettes,new york, NY",4.5,2245,,Events,https://www.tripadvisor.com/Attraction_Review-g60763-d10749293-Reviews-Christmas_Spectacular_Starring_the_Radio_City_Rockettes-New_York_City_New_York.html,https://media-cdn.tripadvisor.com/media/photo-l/0c/c0/1c/ff/christmas-spectacular.jpg,
The Museum of Modern Art (MoMA),The Museum of Modern Art (MoMA),"The Museum of Modern Art (MoMA),new york, NY",4.5,16984,,Museums,https://www.tripadvisor.com/Attraction_Review-g60763-d105126-Reviews-The_Museum_of_Modern_Art_MoMA-New_York_City_New_York.html,https://media-cdn.tripadvisor.com/media/photo-l/07/fb/f3/4d/the-museum-of-modern.jpg,
The Oculus,The Oculus,"The Oculus,new york, NY",4.5,2075,,Sights & Landmarks,https://www.tripadvisor.com/Attraction_Review-g60763-d10340693-Reviews-The_Oculus-New_York_City_New_York.html,https://media-cdn.tripadvisor.com/media/photo-l/0e/85/f7/af/photo0jpg.jpg,
Chelsea Market,Chelsea Market,"Chelsea Market,new york, NY",4.5,8739,,Shopping,https://www.tripadvisor.com/Attraction_Review-g60763-d288031-Reviews-Chelsea_Market-New_York_City_New_York.html,https://media-cdn.tripadvisor.com/media/photo-l/07/b5/d1/e9/caption.jpg,
St. Patrick's Cathedral,St. Patrick's Cathedral,"St. Patrick's Cathedral,new york, NY",4.5,13024,,Sights & Landmarks,https://www.tripadvisor.com/Attraction_Review-g60763-d136053-Reviews-St_Patrick_s_Cathedral-New_York_City_New_York.html,https://media-cdn.tripadvisor.com/media/photo-l/01/ec/b3/8f/caption.jpg,
Times Square,Times Square,"Times Square,new york, NY",4.5,50600,,Sights & Landmarks,https://www.tripadvisor.com/Attraction_Review-g60763-d110145-Reviews-Times_Square-New_York_City_New_York.html,https://media-cdn.tripadvisor.com/media/photo-l/00/10/18/bc/times-square.jpg,
American Museum of Natural History,American Museum of Natural History,"American Museum of Natural History,new york, NY",4.5,23536,,Museums,https://www.tripadvisor.com/Attraction_Review-g60763-d210108-Reviews-American_Museum_of_Natural_History-New_York_City_New_York.html,https://media-cdn.tripadvisor.com/media/photo-l/0e/d3/0a/96/photo1jpg.jpg,
Staten Island Ferry,Staten Island Ferry,"Staten Island Ferry,new york, NY",4.5,20944,,Transportation,https://www.tripadvisor.com/Attraction_Review-g60763-d143363-Reviews-Staten_Island_Ferry-New_York_City_New_York.html,https://media-cdn.tripadvisor.com/media/photo-l/01/a0/f0/d1/manhattan.jpg,
Greenwich Village,Greenwich Village,"Greenwich Village,new york, NY",4.5,3671,,Sights & Landmarks,https://www.tripadvisor.com/Attraction_Review-g60763-d143367-Reviews-Greenwich_Village-New_York_City_New_York.html,https://media-cdn.tripadvisor.com/media/photo-l/01/c4/e0/7b/caption.jpg,
Ellis Island,Ellis Island,"Ellis Island,new york, NY",4.5,6849,,Museums,https://www.tripadvisor.com/Attraction_Review-g60763-d104370-Reviews-Ellis_Island-New_York_City_New_York.html,https://media-cdn.tripadvisor.com/media/photo-l/01/e0/50/ce/ellis-island.jpg,
Bryant Park,Bryant Park,"Bryant Park,new york, NY",4.5,21794,,Nature & Parks,https://www.tripadvisor.com/Attraction_Review-g60763-d136347-Reviews-Bryant_Park-New_York_City_New_York.html,https://media-cdn.tripadvisor.com/media/photo-l/01/ba/85/78/skating-at-the-pond-in.jpg,
Radio City Music Hall,Radio City Music Hall,"Radio City Music Hall,new york, NY",4.5,8758,,Concerts & Shows,https://www.tripadvisor.com/Attraction_Review-g60763-d110164-Reviews-Radio_City_Music_Hall-New_York_City_New_York.html,https://media-cdn.tripadvisor.com/media/photo-l/0b/a2/48/86/radio-city-music-hall.jpg,
"Intrepid Sea, Air & Space Museum","Intrepid Sea, Air & Space Museum","Intrepid Sea, Air & Space Museum,new york, NY",4.5,8702,,Museums,https://www.tripadvisor.com/Attraction_Review-g60763-d143358-Reviews-Intrepid_Sea_Air_Space_Museum-New_York_City_New_York.html,https://media-cdn.tripadvisor.com/media/photo-l/03/19/3d/48/intrepid-sea-air-space.jpg,
Rockefeller Center,Rockefeller Center,"Rockefeller Center,new york, NY",4.5,23675,,Sights & Landmarks,https://www.tripadvisor.com/Attraction_Review-g60763-d105123-Reviews-Rockefeller_Center-New_York_City_New_York.html,https://media-cdn.tripadvisor.com/media/photo-l/15/cd/d2/f5/rockefeller-center.jpg,
The Met Cloisters,The Met Cloisters,"The Met Cloisters,new york, NY",4.5,4824,,Museums,https://www.tripadvisor.com/Attraction_Review-g60763-d106609-Reviews-The_Met_Cloisters-New_York_City_New_York.html,https://media-cdn.tripadvisor.com/media/photo-l/01/0d/da/c9/cloisters.jpg,
