,Name,address,rating,popularity,price,category,url,imageurl,phone
L'Artusi,L'Artusi,"228 W 10th St, New York, NY 10014",4.5,1629,$$$,"Italian, Cocktail Bars",https://www.yelp.com/biz/l-artusi-new-york?adjust_creative=DRD1aIVCtu_BUMwMRI6GOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DRD1aIVCtu_BUMwMRI6GOw,https://s3-media3.fl.yelpcdn.com/bphoto/Yr4VE25s-pjMnLz9nJvNdQ/o.jpg,+12122555757
Boucherie West Village,Boucherie West Village,"99 7th Ave S, New York, NY 10014",4.5,933,$$$,"French, Cocktail Bars, Steakhouses",https://www.yelp.com/biz/boucherie-west-village-new-york-3?adjust_creative=DRD1aIVCtu_BUMwMRI6GOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DRD1aIVCtu_BUMwMRI6GOw,https://s3-media2.fl.yelpcdn.com/bphoto/-5TXMVrjARsqKQHDg-hKbQ/o.jpg,+12128371616
Alta,Alta,"64 W 10th St, New York, NY 10011",4.0,1775,$$$,"Tapas Bars, Mediterranean, Spanish",https://www.yelp.com/biz/alta-new-york?adjust_creative=DRD1aIVCtu_BUMwMRI6GOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DRD1aIVCtu_BUMwMRI6GOw,https://s3-media1.fl.yelpcdn.com/bphoto/aUWGUNBLw-mbQZOzJ9-Pdw/o.jpg,+12125057777
Red Rooster Harlem,Red Rooster Harlem,"310 Lenox Ave, New York, NY 10027",3.5,2841,$$$,American (Traditional),https://www.yelp.com/biz/red-rooster-harlem-new-york-3?adjust_creative=DRD1aIVCtu_BUMwMRI6GOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DRD1aIVCtu_BUMwMRI6GOw,https://s3-media2.fl.yelpcdn.com/bphoto/boNVRBkNPXNOE7KneCiqoQ/o.jpg,+12127929001
Jin Ramen,Jin Ramen,"462 Amsterdam Ave, New York, NY 10024",4.0,756,$$,Ramen,https://www.yelp.com/biz/jin-ramen-new-york-3?adjust_creative=DRD1aIVCtu_BUMwMRI6GOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DRD1aIVCtu_BUMwMRI6GOw,https://s3-media3.fl.yelpcdn.com/bphoto/xHJbolUgTh-MTlc0qHOmww/o.jpg,+16466570755
Bunker,Bunker,"99 Scott Ave, Brooklyn, NY 11237",4.0,665,$$,Vietnamese,https://www.yelp.com/biz/bunker-brooklyn?adjust_creative=DRD1aIVCtu_BUMwMRI6GOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DRD1aIVCtu_BUMwMRI6GOw,https://s3-media3.fl.yelpcdn.com/bphoto/vM8KHLsG6Xk-z1IZLdCKmw/o.jpg,+17183864282
SalaThai Restaurant,SalaThai Restaurant,"307 Amsterdam Ave, New York, NY 10023",4.5,154,$$,Thai,https://www.yelp.com/biz/salathai-restaurant-new-york?adjust_creative=DRD1aIVCtu_BUMwMRI6GOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DRD1aIVCtu_BUMwMRI6GOw,https://s3-media1.fl.yelpcdn.com/bphoto/gQD3p-ftQ1oKvwDcNcZj6w/o.jpg,+12124333999
The Boil,The Boil,"139 Chrystie St, New York, NY 10002",4.5,1731,$$,"Cajun/Creole, Seafood, Live/Raw Food",https://www.yelp.com/biz/the-boil-new-york-3?adjust_creative=DRD1aIVCtu_BUMwMRI6GOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DRD1aIVCtu_BUMwMRI6GOw,https://s3-media2.fl.yelpcdn.com/bphoto/oWCJBXN8cM-nGi83pNqc5g/o.jpg,+12129258815
Up Thai,Up Thai,"1411 2nd Ave, New York, NY 10021",4.5,1922,$$,"Thai, Asian Fusion",https://www.yelp.com/biz/up-thai-new-york?adjust_creative=DRD1aIVCtu_BUMwMRI6GOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DRD1aIVCtu_BUMwMRI6GOw,https://s3-media3.fl.yelpcdn.com/bphoto/g9J3naudQZY72qJAHUOI8A/o.jpg,+12122561188
Balzem,Balzem,"202 Mott St, New York, NY 10012",4.0,367,$$,"Mediterranean, Tapas/Small Plates, Wine Bars",https://www.yelp.com/biz/balzem-new-york?adjust_creative=DRD1aIVCtu_BUMwMRI6GOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DRD1aIVCtu_BUMwMRI6GOw,https://s3-media1.fl.yelpcdn.com/bphoto/h3NWzD0mw_JJ8F03XowUaA/o.jpg,+16468377033
